"駐車時間","一般","定期","合計","比率"
"00：00～00：30","4","0","4","9.8％"
"00：30～01：00","3","0","3","7.3％"
"01：00～01：30","1","0","1","2.4％"
"01：30～02：00","1","0","1","2.4％"
"02：00～02：30","1","0","1","2.4％"
"02：30～03：00","1","0","1","2.4％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","2","0","2","4.9％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","2","0","2","4.9％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","2","0","2","4.9％"
"06：00～07：00","0","0","0","0.0％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","13","0","13","31.7％"
"12：00～16：00","6","0","6","14.6％"
"16：00～20：00","1","0","1","2.4％"
"20：00～24：00","1","0","1","2.4％"
"24：00～36：00","1","0","1","2.4％"
"36：00～48：00","1","0","1","2.4％"
"48：00～","1","0","1","2.4％"
"合計","41","0","41","100％"
