"駐車時間","一般","定期","合計","比率"
"00：00～00：30","2","0","2","4.8％"
"00：30～01：00","1","0","1","2.4％"
"01：00～01：30","1","0","1","2.4％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","2","0","2","4.8％"
"02：30～03：00","1","0","1","2.4％"
"03：00～03：30","0","0","0","0.0％"
"03：30～04：00","0","0","0","0.0％"
"04：00～04：30","3","0","3","7.1％"
"04：30～05：00","4","0","4","9.5％"
"05：00～05：30","0","0","0","0.0％"
"05：30～06：00","0","0","0","0.0％"
"06：00～07：00","3","0","3","7.1％"
"07：00～08：00","0","0","0","0.0％"
"08：00～12：00","12","0","12","28.6％"
"12：00～16：00","6","0","6","14.3％"
"16：00～20：00","1","0","1","2.4％"
"20：00～24：00","1","0","1","2.4％"
"24：00～36：00","2","0","2","4.8％"
"36：00～48：00","0","0","0","0.0％"
"48：00～","3","0","3","7.1％"
"合計","42","0","42","100％"
