"駐車時間","一般","定期","合計","比率"
"00：00～00：30","0","0","0","0.0％"
"00：30～01：00","3","0","3","10.0％"
"01：00～01：30","2","0","2","6.7％"
"01：30～02：00","0","0","0","0.0％"
"02：00～02：30","0","0","0","0.0％"
"02：30～03：00","0","0","0","0.0％"
"03：00～03：30","1","0","1","3.3％"
"03：30～04：00","1","0","1","3.3％"
"04：00～04：30","0","0","0","0.0％"
"04：30～05：00","0","0","0","0.0％"
"05：00～05：30","1","0","1","3.3％"
"05：30～06：00","1","0","1","3.3％"
"06：00～07：00","1","0","1","3.3％"
"07：00～08：00","2","0","2","6.7％"
"08：00～12：00","4","0","4","13.3％"
"12：00～16：00","3","0","3","10.0％"
"16：00～20：00","3","0","3","10.0％"
"20：00～24：00","2","0","2","6.7％"
"24：00～36：00","3","0","3","10.0％"
"36：00～48：00","2","0","2","6.7％"
"48：00～","1","0","1","3.3％"
"合計","30","0","30","100％"
